Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
create_the_hansa_desc;§RGain 2.5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states to consider, it is time we turn our attention to the Free and Hanseatic Cities of Bremen, Hamburg, and Lübeck. These cities aligned themselves with Prussia, giving us more than enough justification to simply incorporate them into Hanover and Mecklenburg. However, doing so would undoubtedly alienate many of the smaller states within the Confederation—most of which also sided with Prussia. Instead, we shall reform the Hanseatic League, uniting the three cities into a single state. This new entity will receive greater autonomy within the German Confederation, while still remaining subordinate to its executive authority—our emperor.;;;;;;;;;;;;;
unite_thuringia_title;Unite Saxony with Thuringia;;;;;;;;;;;;;
unite_thuringia_desc;§RGain 5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states to consider, the matter of the Saxon states now calls for our attention. The Kingdom of Saxony has long been our ally, with the Austrian Emperor having protected it from annexation by Prussia during the Congress of Vienna. It is now time to reward Saxony and ensure it remains within our sphere of influence—by uniting Thuringia with its kingdom. In doing so, we not only reward Saxony for its loyalty but also grant it jurisdiction over the Thuringian duchies—most of which sided with Prussia during our war against them.;;;;;;;;;;;;;
unify_mecklenburg_title;Unify the Duchy Mecklenburg;;;;;;;;;;;;;
unify_mecklenburg_desc;§RGain 2.5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states to consider, it is probably for the best that we get the question of Mecklenburg out of the way. The Duchy of Mecklenburg was an ally of Prussia, but there is no need to punish them. Instead, to guarantee their loyalty, we could unite them with the smaller Duchy of Mecklenburg-Strelitz, while also getting some concessions from them that would give us control over them.;;;;;;;;;;;;;
martial_law_brandenburg_title;The Brandenburg Plot;;;;;;;;;;;;;
martial_law_brandenburg_desc;§RGain 12.5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states to consider, an urgent matter is that of Brandenburg and Pomerania. Both states have been separated from Prussia and are currently under heavy oversight by both our Empire and the German Confederation. Needless to say, our control over the region is unstable—these lands were long held by the Hohenzollerns, and resistance to our rule is to be expected. Fortunately, one of our advisors has devised a plan: to forge a conspiracy suggesting that Brandenburg intends to return to Hohenzollern rule. This would provide us with the justification to declare martial law over both Brandenburg and Pomerania, allowing us to seize permanent control of the duchies.;;;;;;;;;;;;;
EVTDESC800825;\n\nWith our victory over Prussia, it has been reduced to little more than a rump state in the Baltic, a far cry from the days they were a contender for the throne of Germany. But, it seems that their situation is about to get worse. \n\nWith unrest brewing in Poland, the Polish population in Prussia seems to also have some strong desires for independence, as do the ones under Russian rule. But, seeing our treatment of the Polish people, a secretive delegation of Polish partisans from the province of Poznan has come to talk to us, asking for our support to start a Polish uprising in Greater Poland, promising to be loyal to us after their independence from Prussia, as long as they are granted some autonomy. Naturally, we were a bit skeptical of their offer, but they seem like a good opportunity to cripple the Prussians further, even if it will take some time for their revolt to actually start.;;;;;;;;;;;;;
EVTDESC800826;\n\nAs unrest brews in Russian Poland, it seems that we aren't immune to the growing Polish agitation. Much to the contrary, it would seem that, the Grand Duchy of Poznan, which is majority Polish, has followed the winds of Polish nationalism and declared independence from us, with the government in Vienna being the first to declare support to it. \n\nWe cannot overstate how much this hurts us. The loss of Poznan would mean the loss of a third of a remaining territory, but fighting against the uprising would mean fighting against the Austrians again...;;;;;;;;;;;;;
EVTDESC800827;\n\nWith the provisional government in Poznan being able to achieve their independence, our diplomats have already began talks with its representatives, the same which came to our capital months ago. Luckily, it seems that they are happy to follow through their end of the deal, letting us help "guide", especially in foreign affairs, turning them effectively into our puppet. Other than that, it is clear that the these revolutionaries have been emboldened by our support, suggesting us that they could even form a loyal government in Warsaw for a united Polish state, if the situation allows it...;;;;;;;;;;;;;
buy_heligoland_title;The Heligoland Purchase;;;;;;;;;;;;;
buy_heligoland_desc;The island of Heligoland is a small island off the coast of Germany, traditionally considered part of Schleswig or the Frisian Islands. With our control over the Frisian Islands, we maybe could try to buy Heligoland from the British. The island is small and over the years—instead of becoming a naval base—it evolved into a vacation spot and safe haven for German liberals, so they wouldn't mind handing them over to us—for a small price, of course.;;;;;;;;;;;;;
welcome_the_yugoslavs_title;Welcome the South Slavs;;;;;;;;;;;;;
welcome_the_romanians_title;Welcome the Romanians;;;;;;;;;;;;;
welcome_the_polish_title;Welcome the Polish;;;;;;;;;;;;;
welcome_the_yugoslavs_desc;As we grant a special place for the slavs in our nation, we have already granted rights to the Croats, but, with our centuries-long influence over the South Slavic peoples, it is only natural that we start striving to integrate all of the South Slavs into our nation, granting them a place in our Austro-Slavic union over the Danube.;;;;;;;;;;;;;
welcome_the_romanians_desc;After a total transformation of our nation into a Danubian Federation, the Romanians already have a place in our nation, due to them being the dominant population in Transylvania. But, with Romania under our influence, we could spend some political capital to integrate it into our nation, expanding the our nation until it reachs the Black Sea.;;;;;;;;;;;;;
welcome_the_polish_desc;With our union with the Slavic people, one of the biggest slavic groups in our nation are the Polish. Naturally, ever since the partitions of Poland, we ruled over a significant Polish minority, keeping it even as Napoleon created the Duchy of Warsaw. Now, with the Polish becoming members of our Austro-Slavic nation, we have the change to protect the Polish from both Prussian and Russian threats, by integrating them into our nation once we manage to hold enough sway over them.;;;;;;;;;;;;;
truly_baltic_title;A Truly Baltic Nation;;;;;;;;;;;;;
truly_baltic_desc;§RGain 10 infamy§! Despite enjoying German help to fight the Russians, we couldn't risk having the Germans taking the place of the Russians as our new overlords. Because of that, the revolution was born, with the Baltic people storming the Landtag and declaring the creation of $COUNTRY$. Despite that, we can't deny that Germany still holds lots of sway over our nation, bringing some question to the legitimacy of our regime. So, to quell any doubts about the sovereignty of $COUNTRY$, we shall prove ourselves to be a truly Baltic republic, by claiming Prussia, leaving it clear once and for all that we aren't mere subservient to Berlin. \n\n§RPulling yourself out of German protection is a dangerous game for the player, especially if you are a Radical Republic! Not only you will have no protector against Russia, but the European powers won't shy away from putting down a nation that openly defies the European order, no matter how puny it looks!§!;;;;;;;;;;;;;
baltic_ambition_title;Our Ambitions;;;;;;;;;;;;;
baltic_ambition_desc;Despite being a Russian governate until recently, we managed to achieve a quite privileged position among Europena powers, despite maybe still not reaching the level of prestige and power of nations such as France and Britain. That, paired with our agressive expansion, left us wanting more. Now that we are free from outside influence, our nation grew more and more ambitious and, with the conquest of Prussia, we couldn't help but feel emboldened to persue such ambitions.;;;;;;;;;;;;;
EVTDESC73649209;\n\nAfter the last Schleswig War, the Austrian Empire promised us that it would realize a referendum in Schleswig at a later date, to let the population decide if they truly wanted to become a part of Germany, seeing as it has a significant Danish population. Thus, when war broke out between it and Prussia, we feared that that promise may soon be null and void, as Austria would be unable to fulfill it if it was defeated but, in a surprising turn of events, Austria has managed to keep their position as head of the German world and thus, maybe it is a good time to ask about that referenfum they promised.;;;;;;;;;;;;;
japanese_sponsored_modernization;Japanese Government Advisors;;;;;;;;;;;;;
japanese_sponsored_modernization_desc;Officials from Japan are working with our government to oversee our own modernization. We hope to use their knowledge to pursue reforms in all aspects, from social to military.;;;;;;;;;;;;;
mantetsu_jap;South Manchuria Railway — Mantetsu;;;;;;;;;;;;;
mantetsu_jap_desc;The Mantetsu was established after the agressive takeover of most of the Russian Eastern China Railway, following the Japanese victory in the Russo-Japanese War. The company would grow rapidly, going beyond a simple railway company. Soon, the Mantetsu would expand its operations into coal mines, harbors, research centes and even hotels. Now, with our invasion of Manchuria, the Mantetsu became an essential part of our occupation of the region, not only becoming responsible for around 25% of our tax revenue, but also deeply penetrating every sphere of everyday life in Manchuria.;;;;;;;;;;;;;
mantetsu_mck;South Manchuria Railway — Mantetsu;;;;;;;;;;;;;
mantetsu_mck_desc;The Mantetsu was established after the agressive takeover of most of the Russian Eastern China Railway, following the Japanese victory in the Russo-Japanese War. The company would grow rapidly, going beyond a simple railway company. Soon, the Mantetsu would expand its operations into coal mines, harbors, research centes and even hotels. Now, with our invasion of Manchuria, the Mantetsu became an essential part of our occupation of the region, not only becoming responsible for around 25% of our tax revenue, but also deeply penetrating every sphere of everyday life in Manchuria.;;;;;;;;;;;;;
mantetsu_farms_mines;Mantetsu Farms and Mines;;;;;;;;;;;;;
mantetsu_jap_improved;South Manchuria Railway — Mantetsu;;;;;;;;;;;;;
mantetsu_jap_improved_desc;The Mantetsu was established after the agressive takeover of most of the Russian Eastern China Railway, following the Japanese victory in the Russo-Japanese War. The company would grow rapidly, going beyond a simple railway company. Soon, the Mantetsu would expand its operations into coal mines, harbors, research centes and even hotels. Now, with our invasion of Manchuria, the Mantetsu became an essential part of our occupation of the region, not only becoming responsible for around 25% of our tax revenue, but also deeply penetrating every sphere of everyday life for Japanese settlers in Manchuria. \n\nNow, with the rise of Mangyo, most of Mantetsu investment has been absorved and repurposed into serving the developing Manchurian economy, Mantetsu's role has been devolved mainly into its railway lines, planning and research.;;;;;;;;;;;;;
mantetsu_research_wing;Mantetsu Research Wing;;;;;;;;;;;;;
mantetsu_research_wing_desc;The Mantetsu engaged in a country-wide development project, with not only its Research Wing being a center piece of Japan's colonial program, but also devoloping the country's heavy industry and soybean agriculture, with land cultivation increasing in 70% in 20 years, not to mention the construction of schools, libraries and hospitals promoted by the Mantetsu.;;;;;;;;;;;;;
sentetsu;Mantetsu-Sentetsu Integration;;;;;;;;;;;;;
mantetsu_integration;Mantetsu Integration;;;;;;;;;;;;;
mantetsu_settling;Mantetsu Settlements;;;;;;;;;;;;;
mantetsu_mck_improved;Manchurian Industrial Development Company — Mangyo;;;;;;;;;;;;;
mantetsu_mck_improved_desc;Following the Japanese Invasion of Manchuria and the economic success of Mantetsu, the South Manchuria Railway Company helped the Kwantung Army develop a economic and industrial plan for the future of Manchuria, inviting Yoshisuke Aikawa, the founder of the Nissan zaibatsu who proposed the establishment of the Manchurian Industrial Development Company, also known as Mangyo, a joint venture owned 50% by Nissan and 50% by the Manshukoku government. \n\nDespite being rejected at first in favor of Kwantung plans, Aikawa soon would have its way, successfully pulling investment into Manchuria and integrating Mantetsu investments into the Mangyo, managing to surpass the Home Islands in certain sectors by the end of Mangyo's first five year plan.;;;;;;;;;;;;;
exile_oman_title;Exile Oman;;;;;;;;;;;;;
exile_oman_desc;§RGain 5 infamy§! Oman has been a target of Persian expansion ever since the days before the Islamic invasions, with Persia having last conquered Oman during the Asharid period, under Nader Shah in 1743, a mere century ago. \n\nIn turn, after a prolonged civil war following the overthrow of Shah, Persia's most important port—Bandar Abbas—came under the control of the Imam of Muscat. A lease treaty confirming the port's status under Omani rule from 1794 has recently been revoked by our administration and—together with the invasion of Baluchistan and the western coast of Arabia—assured that our relations with Oman shifted in our favor. \n\nNow, while Oman has built quite an empire with their holdings in Africa, we hold the upper hand against them, being capable of not only seizing their Indian ports, but outright exile the Imam of Muscat to Zanzibar, giving us not only complete control over the Persian Gulf, but also seizing his lands in the Arabian Peninsula.;;;;;;;;;;;;;
secure_trucial_oman_title;Secure the Straits of Hormuz;;;;;;;;;;;;;
secure_trucial_oman_desc;§RGain 4 infamy§! Seizing control over Western Arabia has solidified our position on the Persian Gulf, but stoping now wouble be neglecting the fact that our control over it remains unstable, with its waters being easily blockaded if any naval power were to take control over either side of the Hormuz Strait. With that, after we reintegrate Bandar Abbas and the Island of Hormu back into our rule after years of Omani rule, it would be only natural that, to truly secure the Persian Gulf, we invade the many emirates across the Hormuz Strait. \n\nAnnexing both sides of the Hormuz Strait would not only guarantee our control over the Persian Gulf, but also pacify the many emirs on the Arabian side of it, making sure that their in-fighting won't let western powers encroach in our backyard.;;;;;;;;;;;;;
persian_syria_title;Beyond the Euphrates;;;;;;;;;;;;;
persian_syria_desc;§RGain 10 infamy§! While we are no strangers to Syria, the region hasn't been under our control ever since pre-Islamic Iran, with our nation not being able to rule the region ever since the days of Khosrow II of the Sassanids, shortly before the begining of the Muslim conquest of Persia. But now—with our positon as a rising power in the world stage and in the Middle East—we can westle our rivals for control over Syria and the entire Levant—going as far as claiming al-Quds—which would certainly let us be respected not only by Islamic powers, but by Christian ones as well.;;;;;;;;;;;;;
persian_holy_cities_title;Custody over the Holy Cities;;;;;;;;;;;;;
persian_holy_cities_desc;§RGain 8 infamy§! While we never ruled over Hedjaz nor does the region have much in the way of economic or strategic importance, its value to us is hard to understate. With our position as the holders of al-Quds, we earned a great deal of respect from the Christian powers and from the Muslim people—to a lesser degree. While al-Quds is also a holy city in Islam, its importance pales in comparison to the Holy Cities of Mecca and Medina—both found in Hedjaz. Thus—pairing it with our position as a great power—if we were to hold both al-Quds and the Holy Cities of Mecca and Medina we would become the uncontested leaders of the Muslim world, even if we are part of the Shiite minority.;;;;;;;;;;;;;
regain_omani_coast_defeat_title;Reclaim the Strait of Hormuz;;;;;;;;;;;;;
regain_omani_coast_defeat_desc;The powerful, maritime Sultanate of Muscat-Oman under the capable rule of the BuSaidi dynasty, had managed to occupy much of the coastal lands around the Persian Gulf and the Northwest Indian Ocean, all the way to Zanzibar by the mid 1850s. These included ports, islands and coastal regions of Baluchistan, Strait of Hormuz and Laristan on the Persian side of the Gulf of Oman and the Persian Gulf. These annexations were afforded to Oman during the chaos that ruled Persia in her transitional period between the Zand and the Qajar dynasties, which was followed immediately by the continuous military campaign by Persia defending herself against the imperial Russian and British forces in the north and the east.\n\nDespite losing against the Sultanate of Muscat-Oman in 1846, now that that Muscat lost control over Bandar Abbas, we can once again integrate these ports back into our nation.;;;;;;;;;;;;;
accept_ruthenians_title;Ruthenian Autonomy;;;;;;;;;;;;;
accept_ruthenians_desc;Ruthenia was always an important part of the Lithuanian state. Even with the Union of Lublin, more than half of the Grand Duchy was composed by Ruthenian voivodeships. Our expansion into Ruthenia began ever before Chirstianization, with the rich cities of Ruthenia granting the resources to fight the repeated agressions of the Teutonic and Livonian Orders. In return, Ruthenian magnates held on to their lands and kept a lot of autonomy under Lithuanian rule, with some Lithuanian nobles even converting to Orthodox Christianity and many of the Grand Duchy's official documents. \n\nOur state has already integrated the White Ruthenians into our nation, but now, with the acquisition of Kiev in the heart of the Rus, we are in a position to tackle the integration of the Ruthenians further south, granting them the same right as the Ruthenians to the north, with a bit of extra autonomy on top of that.;;;;;;;;;;;;;
restore_grand_duchy_lit_title;Restore Pre-Partition Borders;;;;;;;;;;;;;
restore_grand_duchy_lit_desc;§RGain 8 infamy§! Despite having restored the borders granted by the Napoleon to the Provisional Government Commission of the Grand Duchy of Lithuania, that was only the first step of our restoration to the status as an European power. Now that we have annexed Minsk and integrated its people, it is only natural that we push further into uniting the White Ruthenians, while also restoring our pre-partition borders in the process, delving deeper into Russia with it.;;;;;;;;;;;;;
act_of_5th_november_title;Fulfill the Act of 5th November;;;;;;;;;;;;; 
act_of_5th_november_desc;Following their occupation of Congress Poland during the Great War, the Act of 5th November was a joint declaration between emperors Wilhelm II of Germany and Franz Joseph of Austria, promising the creation of the Kingdom of Poland out of Congress Poland's territory. The document was born out of a need for Polish blood to fight in the war, with Wilhelm II's Germany even having plans to annex up to 30,000km² of land from the newly-established Kingdom of Poland. Now, with the war over, we are in the position to fulfill our promises to the Poles, letting us further negotiate with our new Polish puppets once the situation stabilizes and the political mood in Poland shifts in our favor.;;;;;;;;;;;;;
accept_lietvaks_title;Embrace the Lietvaks;;;;;;;;;;;;; 
accept_lietvaks_desc;Lithuanian Jews, nowdays known as Lietvaks, have been an important part of our nations since the days of Vytautas the Great, whom granted privileges to many Lietvaks communities all across the Grand Duchy and ensured a golden age of Judaism in Lithuania, with it leading to the co-existence of both Orthodox Jews and Karaites inside our borders. That is not to say our relation with our Jewish communities was perfect as Lietvaks suffered both from expulsions and conflicts with the nobility. \n\nDespite that, many Jewish communities prospered under our rule, with our capital, Vilnius, being often known by the moniker "Jerusalem of the North", with Lietvaks such as Vilna Gaon and Mendele Mocher Sforim being important figures in the Jewish world. It would prudent to embrace the Lietvaks, guaranteeing their rights and assuring them they are a respected part of our nation.;;;;;;;;;;;;;
united_with_belarussians;Granted Equal Rights to the White Ruthenians;;;;;;;;;;;;;
break_union_of_lublin_title;Denounce the Union of Lublin;;;;;;;;;;;;;
break_union_of_lublin_desc;§RGain 15 infamy (This will block us from forming the Commonwealth or unite the Baltics!)§! While the Union of Lublin wasn't the first treaty to bring Poland and Lithuania together, with the first being the Union of Krewo, which also established—for the second time—Roman Catholicism as the official religion of Lithuania. Fater the Union of Krewo, many more treaties would deepen the ties between Poland and Lithuania, until the Union of Lublin, which replaced the personal union between both states with a real union, creating the Polish-Lithuanian Commonwealth. \n\nDespite the Union being agreed on by the Lithuanian representatives, the truth is that it was more of a diktat, with Poland seizing the rich lands of Ruthenia after facing resistance from the Polish representatives, forcing them back into the negotiation table, finally accepting the Union of Lublin under the Polish terms. \n\nIf we were to denounce the Union, we would be able to claim the seized Ruthenian territories once again, at the cost of straining our relationship with the Poles.;;;;;;;;;;;;;
duchy_of_livonia_title;Restore the Duchy of Livonia;;;;;;;;;;;;;
